rower,coler_name,parameter_1,t,field,N,x,y,bbox,pos_x_um,pos_y_um,Bacteria,age_s,disp_x_um,disp_y_um,track_point_x,track_point_y,speed_um_s,well_id,cell_lbl
4,5,1,13,1,27,648,2107,"[561,2040,795,2158]",-37.54,300.92,Lpp WT,0.0,0.0,0.0,678,2116,0.000110093,1,w1_f1_c27
4,5,1,14,1,27,677,2098,"[555,2034,802,2158]",-37.26,301.16,Lpp WT,3601.21,0.280345,-0.280345,681,2113,0.000110093,1,w1_f1_c27
4,5,1,14,1,28,1068,756,"[922,659,1269,905]",1.86,424.95,Lpp WT,0.0,0.0,0.0,1099,788,2.59731e-05,1,w1_f1_c28
4,5,1,15,1,28,1065,757,"[925,658,1272,902]",1.83,425.08,Lpp WT,3597.89,0.0,-0.0934484,1099,787,0.000396544,1,w1_f1_c28
4,5,1,16,1,28,1080,750,"[981,658,1267,899]",4.31,426.22,Lpp WT,7198.51,2.52311,-1.21483,1126,775,0.000766834,1,w1_f1_c28
4,5,1,15,1,29,695,974,"[542,884,852,1146]",-36.34,404.38,Lpp WT,0.0,0.0,0.0,691,1008,0.000453999,1,w1_f1_c29
4,5,1,16,1,29,721,979,"[542,918,886,1143]",-34.94,403.62,Lpp WT,3600.62,1.40173,0.841035,706,1017,0.000453999,1,w1_f1_c29
4,5,1,0,1,3,259,169,"[160,65,391,297]",-76.45,482.26,Lpp WT,0.0,0.0,0.0,261,175,0.00154842,1,w1_f1_c3
4,5,1,1,1,3,211,127,"[130,51,288,234]",-81.03,485.42,Lpp WT,3599.36,-4.57897,-3.17724,212,141,0.000985229,1,w1_f1_c3
4,5,1,2,1,3,203,118,"[89,27,342,280]",-82.57,485.12,Lpp WT,7200.91,-6.07414,-2.8969,196,144,0.00122481,1,w1_f1_c3
4,5,1,3,1,3,228,86,"[168,1,275,144]",-80.18,492.05,Lpp WT,10800.8,-3.73794,-9.81208,221,70,0.00208219,1,w1_f1_c3
4,5,1,4,1,3,199,121,"[71,1,352,316]",-82.4,484.66,Lpp WT,14399.2,-5.88725,-2.42966,198,149,0.00111993,1,w1_f1_c3
4,5,1,5,1,3,204,124,"[70,1,354,326]",-82.4,484.34,Lpp WT,18000.1,-5.88725,-2.05586,198,153,8.09417e-05,1,w1_f1_c3
4,5,1,6,1,3,204,123,"[72,1,354,316]",-82.33,484.55,Lpp WT,21598.8,-5.7938,-2.24276,199,151,7.00459e-05,1,w1_f1_c3
4,5,1,7,1,3,204,143,"[71,1,356,319]",-82.16,484.79,Lpp WT,25202.0,-5.70035,-2.52311,200,148,8.78005e-05,1,w1_f1_c3
4,5,1,8,1,3,203,140,"[46,1,356,309]",-82.5,484.65,Lpp WT,28802.0,-5.9807,-2.33621,197,150,0.000145643,1,w1_f1_c3
4,5,1,9,1,3,202,137,"[77,1,354,308]",-82.23,485.27,Lpp WT,32401.9,-5.70035,-2.99035,200,143,0.000197691,1,w1_f1_c3
4,5,1,0,1,4,979,412,"[805,197,1136,618]",-10.31,459.94,Lpp WT,0.0,0.0,0.0,969,414,0.00136815,1,w1_f1_c4
4,5,1,1,1,4,924,366,"[772,164,1085,563]",-14.43,462.66,Lpp WT,3599.36,-4.11173,-2.71,925,385,0.000814288,1,w1_f1_c4
4,5,1,2,1,4,944,377,"[770,182,1146,587]",-13.5,462.5,Lpp WT,7200.91,-3.17724,-2.61655,935,386,0.000229236,1,w1_f1_c4
4,5,1,3,1,4,933,370,"[783,172,1082,550]",-14.15,462.8,Lpp WT,10800.8,-3.83138,-2.8969,928,383,0.00016878,1,w1_f1_c4
4,5,1,4,1,4,928,381,"[789,173,1086,545]",-13.98,462.37,Lpp WT,14399.2,-3.64449,-2.42966,930,388,0.000134801,1,w1_f1_c4
4,5,1,5,1,4,919,410,"[788,218,1129,545]",-14.24,461.99,Lpp WT,18000.1,-3.92483,-2.05586,927,392,0.000285933,1,w1_f1_c4
4,5,1,6,1,4,934,366,"[790,168,1075,538]",-14.13,463.55,Lpp WT,21598.8,-3.83138,-3.64449,928,375,0.000315426,1,w1_f1_c4
4,5,1,7,1,4,940,355,"[778,157,1086,531]",-13.96,464.2,Lpp WT,25202.0,-3.64449,-4.29863,930,368,0.000263597,1,w1_f1_c4
4,5,1,8,1,4,925,398,"[787,190,1078,543]",-13.91,462.99,Lpp WT,28802.0,-3.55104,-3.0838,931,381,0.000309017,1,w1_f1_c4
4,5,1,9,1,4,942,395,"[798,260,1075,526]",-13.52,462.09,Lpp WT,32401.9,-3.17724,-2.14931,935,391,0.000279578,1,w1_f1_c4
4,5,1,0,1,5,1521,1113,"[1367,992,1612,1218]",40.89,395.77,Lpp WT,0.0,0.0,0.0,1517,1101,0.000432102,1,w1_f1_c5
4,5,1,1,1,5,1509,1139,"[1403,960,1623,1250]",40.04,394.45,Lpp WT,3599.36,-0.841035,1.30828,1508,1115,0.000913024,1,w1_f1_c5
4,5,1,10,1,5,1506,970,"[1344,787,1687,1178]",40.94,405.4,Lpp WT,36084.0,0.0934484,-9.62518,1518,998,0.00551442,1,w1_f1_c5
4,5,1,11,1,5,1542,1359,"[1320,829,1751,1708]",43.38,377.3,Lpp WT,39605.6,2.52311,18.4093,1544,1298,0.00575374,1,w1_f1_c5
4,5,1,12,1,5,1515,1435,"[1257,1154,1764,1725]",41.2,364.68,Lpp WT,43201.6,0.280345,31.0249,1520,1433,0.00189117,1,w1_f1_c5
4,5,1,13,1,5,1522,1441,"[1274,1178,1761,1726]",41.41,363.96,Lpp WT,46803.2,0.56069,31.7724,1523,1441,0.000123823,1,w1_f1_c5
4,5,1,14,1,5,1526,1441,"[1274,1177,1761,1722]",41.45,364.08,Lpp WT,50404.4,0.56069,31.679,1523,1440,4.2006e-05,1,w1_f1_c5
4,5,1,15,1,5,1530,1442,"[1267,1186,1762,1718]",41.51,363.86,Lpp WT,54002.3,0.654139,31.8659,1524,1442,0.00203329,1,w1_f1_c5
4,5,1,16,1,5,1395,1482,"[1267,1264,1474,1625]",27.11,364.89,Lpp WT,57602.9,-13.7369,30.838,1370,1431,0.00391309,1,w1_f1_c5
4,5,1,17,1,5,1522,1436,"[1272,1174,1754,1710]",40.87,364.33,Lpp WT,61202.7,0.0,31.3987,1517,1437,0.00381916,1,w1_f1_c5
4,5,1,2,1,5,1443,1149,"[1304,967,1584,1289]",35.69,392.04,Lpp WT,7200.91,-5.23311,3.73794,1461,1141,0.00105118,1,w1_f1_c5
4,5,1,3,1,5,1485,1151,"[1387,1003,1580,1262]",38.22,392.4,Lpp WT,10800.8,-2.71,3.36414,1488,1137,0.0006094,1,w1_f1_c5
4,5,1,4,1,5,1476,1128,"[1321,1001,1599,1231]",37.68,394.17,Lpp WT,14399.2,-3.17724,1.58862,1483,1118,0.000545264,1,w1_f1_c5
4,5,1,5,1,5,1475,1115,"[1312,927,1657,1348]",38.08,392.09,Lpp WT,18000.1,-2.80345,3.64449,1487,1140,0.00036013,1,w1_f1_c5
