Database Name	Opera_Phenix_1
Database Location	http://157.99.122.161/ODA/OdaService.asmx
Evaluation Signature	542866a6-6db8-4296-aaba-f38b4574b780
Plate Name	EP128-TMRM
Measurement	Measurement 1
Evaluation	Evaluation10

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Bacteria - Number of Objects	Bacteria - Bacteria Area [µm²] - Mean per Well	Tracked Cells - Number of Objects	Tracked Cells - Bacteria Area [µm²]- Sum per Cell  - Mean per Well	Tracked Cells - IF - Mean per Well	Tracked Cells - NI - Mean per Well	Tracked Cells - Intensity Tracked cell region dsRed Mean - Mean per Well	Tracked Cells - Intensity Tracked cell region dsRed StdDev - Mean per Well	Tracked Cells - red sdmean - Mean per Well	% IF cells	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Bacteria	
4	9	1	-2	127	0	NaN	114	0	0	1	258.652962848	200.279414298	0.696683392441	0	4	0	-683.56	0	37	0	5	NaCN	NI	
4	10	1	-2	68	0	NaN	64	0	0	1	268.504874061	216.395072543	0.676421394454	0	4	0	-684.52699999999993	0	37	0	5	FCCP	NI	
4	11	1	-2	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	0	-682.127	0	37	0	5			
5	3	1	-2	63	0	NaN	54	0	0	1	234.315134845	177.733659014	0.649966256022	0	4	0	-685.01	0	37	0	5	NT	NI	
5	4	1	-2	82	0	NaN	75	0	0	1	260.244863223	196.48782086	0.668896240513	0	4	0	-683.93599999999992	0	37	0	5	Oligomycin	NI	
5	5	1	-2	105	0	NaN	94	0	0	1	250.726120072	185.215548306	0.659405271149	0	4	0	-683.39	0	37	0	5	DCCD	NI	
5	6	1	-2	116	0	NaN	97	0	0	1	231.638984023	161.118382706	0.629510537535	0	4	0	-684.14	0	37	0	5	Rotenone	NI	
5	7	1	-2	131	0	NaN	117	0	0	1	242.066306271	169.705260176	0.632038931629	0	4	0	-684.67	0	37	0	5	TTFA	NI	
5	8	1	-2	104	0	NaN	91	0	0	1	245.39352865	173.970407471	0.642243254662	0	4	0	-684.23	0	37	0	5	Antimycin A	NI	
5	9	1	-2	79	0	NaN	71	0	0	1	218.096263237	136.57169199	0.558258876602	0	4	0	-683.54599999999994	0	37	0	5	NaCN	NI	
5	10	1	-2	72	0	NaN	68	0	0	1	307.200939157	273.23195786	0.796768124363	0	4	0	-684.33999999999992	0	37	0	5	FCCP	NI	
5	11	1	-2	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	0	-682.437	0	37	0	5			
6	3	1	-2	99	705	0.729956571226	62	8.30031262443	0.838709677419	0.161290322581	198.889877336	128.106120231	0.550611189634	83.8709677419	4	0	-684.937	0	37	0	5	NT	Lpp WT	
6	4	1	-2	119	815	0.855046750299	84	8.29598930349	0.857142857143	0.142857142857	225.629079992	166.099471153	0.658987132354	85.7142857143	4	0	-683.827	0	37	0	5	Oligomycin	Lpp WT	
6	5	1	-2	128	656	0.992085278428	87	7.48055106493	0.850574712644	0.149425287356	232.699537826	183.616905234	0.714997941095	85.0574712644	4	0	-683.483	0	37	0	5	DCCD	Lpp WT	
